City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
625,Mangaluru,IN,85.06,few clouds,12.8667,74.8833,Goldfinch Hotel Mangaluru
626,Trairi,BR,81.86,overcast clouds,-3.2778,-39.2689,janelas do mar
627,Morondava,MG,81.46,scattered clouds,-20.2833,44.2833,La Case Bambou
632,Santa Maria,BR,79.9,few clouds,-29.6842,-53.8069,Hotel Morotin
634,Simoes,BR,88.36,broken clouds,-7.5989,-40.8178,Hotel Ponto Certo
639,Rodrigues Alves,BR,80.8,broken clouds,-7.738,-72.6509,Pousada Aconchego
640,Gbarnga,LR,76.1,moderate rain,6.9956,-9.4722,Passion Hotel 2
648,Tahta,EG,75.02,clear sky,26.7693,31.5021,فندق الزيات
657,Barras,BR,85.28,broken clouds,-4.2444,-42.2944,Hotel Alvorada
658,Kokopo,PG,77.25,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
659,Kavali,IN,80.62,few clouds,14.9167,79.9833,Hotel Mourya Paradise
660,Punto Fijo,VE,82.69,broken clouds,11.6956,-70.1996,Santa Fe Inn Hotel
667,Katiola,CI,88.43,overcast clouds,8.1333,-5.1,Auberge Residence Yebin
668,Iaciara,BR,89.49,few clouds,-14.0958,-46.6317,Hotel Matinha
669,Momostenango,GT,77.43,clear sky,15.0436,-91.4086,Hotel Tzún
674,Fort Wellington,GY,83.03,overcast clouds,6.4,-57.6,TE'AMO Entertainment Park
677,Cotonou,BJ,85.98,few clouds,6.3654,2.4183,Novotel Cotonou Orisha
679,Panacan,PH,80.37,overcast clouds,9.2463,118.4082,Mom's Place Resort
